key,param,value,,,,,,,,,,,
oaat0144,jmaxb0,"0,0.02055,0.0215,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055",,,,,,,,,,,
oaat0145,jmaxb0,"0,0.02055,0.0217,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055",,,,,,,,,,,
oaat0146,jmaxb0,"0,0.02055,0.0219,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055",,,,,,,,,,,
oaat0147,jmaxb0,"0,0.02055,0.0221,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055",,,,,,,,,,,
oaat0148,jmaxb0,"0,0.02055,0.0223,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055",,,,,,,,,,,
oaat0149,jmaxb1,"0,0.05,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",,,,,,,,,,,
oaat0150,jmaxb1,"0,0.05,0.085,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",,,,,,,,,,,
oaat0151,jmaxb1,"0,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",,,,,,,,,,,
oaat0152,jmaxb1,"0,0.05,0.095,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",,,,,,,,,,,
oaat0153,jmaxb1,"0,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",,,,,,,,,,,
oaat0154,leaf_long,"0, 2.64736, 2.680452, 0.40536, 1.122, 1.122, 0.38664, 0.38664, 0.38664, 1.05864, 0.312, 0.312, 0.25664, 0.25664, 0.112, 0.25664, 1",,,,,,,,,,,
oaat0155,leaf_long,"0, 2.64736, 2.713544, 0.40536, 1.122, 1.122, 0.38664, 0.38664, 0.38664, 1.05864, 0.312, 0.312, 0.25664, 0.25664, 0.112, 0.25664, 1",,,,,,,,,,,
oaat0156,leaf_long,"0, 2.64736, 2.746636, 0.40536, 1.122, 1.122, 0.38664, 0.38664, 0.38664, 1.05864, 0.312, 0.312, 0.25664, 0.25664, 0.112, 0.25664, 1",,,,,,,,,,,
oaat0157,leaf_long,"0, 2.64736, 2.779728, 0.40536, 1.122, 1.122, 0.38664, 0.38664, 0.38664, 1.05864, 0.312, 0.312, 0.25664, 0.25664, 0.112, 0.25664, 1",,,,,,,,,,,
oaat0158,leaf_long,"0, 2.64736, 2.81282, 0.40536, 1.122, 1.122, 0.38664, 0.38664, 0.38664, 1.05864, 0.312, 0.312, 0.25664, 0.25664, 0.112, 0.25664, 1",,,,,,,,,,,
oaat0159,vcmaxha,94500,,,,,,,,,,,
oaat0160,vcmaxha,90000,,,,,,,,,,,
oaat0161,vcmaxha,85500,,,,,,,,,,,
oaat0162,vcmaxha,81000,,,,,,,,,,,
oaat0163,vcmaxha,76500,,,,,,,,,,,
