key,param,minmax
oaat0000,kmax,min
oaat0001,kmax,max
oaat0002,psi50,min
oaat0003,psi50,max
oaat0004,jmaxb0,min
oaat0005,jmaxb0,max
oaat0006,jmaxb1,min
oaat0007,jmaxb1,max
oaat0008,wc2wjb0,min
oaat0009,wc2wjb0,max
oaat0010,slatop,min
oaat0011,slatop,max
oaat0012,grperc,min
oaat0013,grperc,max
oaat0014,lmr_intercept_atkin,min
oaat0015,lmr_intercept_atkin,max
oaat0016,medlynslope,min
oaat0017,medlynslope,max
oaat0018,medlynintercept,min
oaat0019,medlynintercept,max
oaat0020,theta_cj,min
oaat0021,theta_cj,max
oaat0022,tpu25ratio,min
oaat0023,tpu25ratio,max
oaat0024,lmrse,min
oaat0025,lmrse,max
oaat0026,cp25_yr2000,min
oaat0027,cp25_yr2000,max
oaat0028,vcmaxha,min
oaat0029,vcmaxha,max
oaat0030,jmaxha,min
oaat0031,jmaxha,max
oaat0032,tpuha,min
oaat0033,tpuha,max
oaat0034,lmrha,min
oaat0035,lmrha,max
oaat0036,kcha,min
oaat0037,kcha,max
oaat0038,koha,min
oaat0039,koha,max
oaat0040,cpha,min
oaat0041,cpha,max
oaat0042,vcmaxhd,min
oaat0043,vcmaxhd,max
oaat0044,jmaxhd,min
oaat0045,jmaxhd,max
oaat0046,tpuhd,min
oaat0047,tpuhd,max
oaat0048,lmrhd,min
oaat0049,lmrhd,max
oaat0050,froot_leaf,min
oaat0051,froot_leaf,max
oaat0052,leafcn,min
oaat0053,leafcn,max
oaat0054,leaf_long,min
oaat0055,leaf_long,max
oaat0056,fstor2tran,min
oaat0057,fstor2tran,max
oaat0058,crit_onset_gdd_sf,min
oaat0059,crit_onset_gdd_sf,max
oaat0060,FUN_fracfixers,min
oaat0061,FUN_fracfixers,max
oaat0062,a_fix,min
oaat0063,a_fix,max
oaat0064,kc_nonmyc,min
oaat0065,kc_nonmyc,max
oaat0066,kn_nonmyc,min
oaat0067,kn_nonmyc,max
oaat0068,akc_active,min
oaat0069,akc_active,max
oaat0070,akn_active,min
oaat0071,akn_active,max
oaat0072,ekc_active,min
oaat0073,ekc_active,max
oaat0074,ekn_active,min
oaat0075,ekn_active,max
oaat0076,fff,min
oaat0077,fff,max
oaat0078,e_ice,min
oaat0079,e_ice,max
oaat0080,bsw_sf,min
oaat0081,bsw_sf,max
oaat0082,sucsat_sf,min
oaat0083,sucsat_sf,max
oaat0084,watsat_sf,min
oaat0085,watsat_sf,max
oaat0086,hksat_sf,min
oaat0087,hksat_sf,max
oaat0088,om_frac_sf,min
oaat0089,om_frac_sf,max
oaat0090,baseflow_scalar,min
oaat0091,baseflow_scalar,max
oaat0092,maximum_leaf_wetted_fraction,min
oaat0093,maximum_leaf_wetted_fraction,max
oaat0094,interception_fraction,min
oaat0095,cv,min
oaat0096,cv,max
oaat0097,d_max,min
oaat0098,d_max,max
oaat0099,dleaf,min
oaat0100,dleaf,max
oaat0101,zsno,min
oaat0102,zsno,max
oaat0103,n_melt_coef,min
oaat0104,n_melt_coef,max
oaat0105,accum_factor,max
oaat0106,xdrdt,min
oaat0107,xdrdt,max
oaat0108,upplim_destruct_metamorph,min
oaat0109,upplim_destruct_metamorph,max
oaat0110,snw_rds_refrz,min
oaat0111,r_mort,min
oaat0112,r_mort,max
oaat0113,decomp_depth_efolding,min
oaat0114,bgc_tau_s1,min
oaat0115,bgc_tau_s1,max
oaat0116,bgc_tau_s2,min
oaat0117,bgc_tau_s2,max
oaat0118,bgc_tau_s3,min
oaat0119,bgc_tau_s3,max
oaat0120,q10_mr,min
oaat0121,q10_mr,max
oaat0122,minpsi_hr,min
oaat0123,minpsi_hr,max
oaat0124,maxpsi_hr,min
oaat0125,maxpsi_hr,max
oaat0126,bgc_rf_l1s1,min
oaat0127,bgc_rf_l1s1,max
oaat0128,bgc_rf_l2s1,min
oaat0129,bgc_rf_l2s1,max
oaat0130,bgc_rf_l3s2,min
oaat0131,bgc_rf_l3s2,max
oaat0132,bgc_rf_s2s1,max
oaat0133,bgc_rf_s2s3,min
oaat0134,bgc_rf_s2s3,max
oaat0135,bgc_rf_s3s1,min
oaat0136,bgc_rf_s3s1,max
oaat0137,rf_cwdl2,min
oaat0138,rf_cwdl2,max
oaat0139,bgc_rf_cwdl3,min
oaat0140,bgc_rf_cwdl3,max
oaat0141,pot_hmn_ign_counts_alpha,min
oaat0142,pot_hmn_ign_counts_alpha,max
oaat0143,fsr_pft,min
oaat0144,fsr_pft,max
oaat0145,KCN,min
oaat0146,KCN,max
oaat0147,TAU,min
oaat0148,TAU,max
oaat0149,RF_LS,min
oaat0150,RF_LS,max
oaat0151,RF_SS,min
oaat0152,RF_SS,max
oaat0153,RF_CWD,min
oaat0154,RF_CWD,max
oaat0155,taulnir,min
oaat0156,taulnir,max
oaat0157,taulvis,min
oaat0158,taulvis,max
oaat0159,tausnir,min
oaat0160,tausnir,max
oaat0161,tausvis,min
oaat0162,tausvis,max
oaat0163,rholnir,min
oaat0164,rholnir,max
oaat0165,rholvis,min
oaat0166,rholvis,max
oaat0167,rhosnir,min
oaat0168,rhosnir,max
oaat0169,rhosvis,min
oaat0170,rhosvis,max
oaat0171,xl,min
oaat0172,xl,max
oaat0173,ACCLIM_SF,min
oaat0174,ACCLIM_SF,max
oaat0175,bsw_sf,max
oaat0185,vcmaxse_sf,max
oaat0186,jmaxse_sf,max
oaat0187,tpu25ratio,min
oaat0188,tpu25ratio,max
oaat0189,r_mort,min
oaat0190,r_mort,max
oaat0191,medlynintercept,max
oaat0192,medlynintercept,max
oaat0193,hksat_sf,max
oaat0194,hksat_sf,max
oaat0195,hksat_sf,max
oaat0197,bsw_sf,max


