key,param,minmax
oaat0000,default,max
oaat0001,kmax,min
oaat0002,kmax,max
oaat0003,psi50,min
oaat0004,psi50,max
oaat0005,jmaxb0,min
oaat0006,jmaxb0,max
oaat0007,jmaxb1,min
oaat0008,jmaxb1,max
oaat0009,wc2wjb0,min
oaat0010,wc2wjb0,max
oaat0011,slatop,min
oaat0012,slatop,max
oaat0013,grperc,min
oaat0014,grperc,max
oaat0015,lmr_intercept_atkin,min
oaat0016,lmr_intercept_atkin,max
oaat0017,medlynslope,min
oaat0018,medlynslope,max
oaat0019,medlynintercept,min
oaat0020,medlynintercept,max
oaat0021,theta_cj,min
oaat0022,theta_cj,max
oaat0023,tpu25ratio,max
oaat0024,lmrse,min
oaat0025,lmrse,max
oaat0026,vcmaxha,min
oaat0027,vcmaxha,max
oaat0028,jmaxha,min
oaat0029,jmaxha,max
oaat0030,tpuha,min
oaat0031,tpuha,max
oaat0032,lmrha,min
oaat0033,lmrha,max
oaat0034,froot_leaf,min
oaat0035,froot_leaf,max
oaat0036,leafcn,min
oaat0037,leafcn,max
oaat0038,leaf_long,min
oaat0039,leaf_long,max
oaat0040,fstor2tran,min
oaat0041,fstor2tran,max
oaat0042,crit_onset_gdd_sf,min
oaat0043,crit_onset_gdd_sf,max
oaat0044,FUN_fracfixers,min
oaat0045,FUN_fracfixers,max
oaat0046,nfix_tmin,min
oaat0047,nfix_tmin,max
oaat0048,nfix_topt,min
oaat0049,nfix_topt,max
oaat0050,nfix_tmax,min
oaat0051,nfix_tmax,max
oaat0052,fff,min
oaat0053,fff,max
oaat0054,e_ice,min
oaat0055,e_ice,max
oaat0056,bsw_sf,min
oaat0057,bsw_sf,max
oaat0058,sucsat_sf,min
oaat0059,sucsat_sf,max
oaat0060,watsat_sf,min
oaat0061,watsat_sf,max
oaat0062,hksat_sf,min
oaat0063,hksat_sf,max
oaat0064,om_frac_sf,min
oaat0065,om_frac_sf,max
oaat0066,baseflow_scalar,min
oaat0067,baseflow_scalar,max
oaat0068,maximum_leaf_wetted_fraction,min
oaat0069,maximum_leaf_wetted_fraction,max
oaat0070,interception_fraction,min
oaat0071,cv,min
oaat0072,cv,max
oaat0073,d_max,min
oaat0074,d_max,max
oaat0075,dleaf,min
oaat0076,dleaf,max
oaat0077,z0v_Cr,min
oaat0078,z0v_Cr,max
oaat0079,z0v_Cs,min
oaat0080,z0v_Cs,max
oaat0081,z0v_c,min
oaat0082,z0v_c,max
oaat0083,z0v_cw,min
oaat0084,z0v_cw,max
oaat0085,n_melt_coef,min
oaat0086,n_melt_coef,max
oaat0087,accum_factor,max
oaat0088,xdrdt,min
oaat0089,upplim_destruct_metamorph,min
oaat0090,upplim_destruct_metamorph,max
oaat0091,snw_rds_refrz,min
oaat0092,r_mort,min
oaat0093,r_mort,max
oaat0094,decomp_depth_efolding,min
oaat0095,q10_mr,min
oaat0096,q10_mr,max
oaat0097,minpsi_hr,min
oaat0098,minpsi_hr,max
oaat0099,maxpsi_hr,min
oaat0100,maxpsi_hr,max
oaat0101,pot_hmn_ign_counts_alpha,min
oaat0102,pot_hmn_ign_counts_alpha,max
oaat0103,fsr_pft,min
oaat0104,fsr_pft,max
oaat0105,xl,min
oaat0106,xl,max
oaat0107,ACCLIM_SF,min
oaat0108,ACCLIM_SF,max
oaat0109,KCN,min
oaat0110,KCN,max
oaat0111,TAU,min
oaat0112,TAU,max
oaat0113,RF_LS,min
oaat0114,RF_LS,max
oaat0115,RF_SS,min
oaat0116,RF_SS,max
oaat0117,RF_CWD,min
oaat0118,RF_CWD,max
